old_slug,canonical_slug,old_countries,old_types,sample_name_en
optometrists-and-ophthalmic-opticians,optometrist-and-ophthalmic-optician,1,NCO2015,Optometrists And Ophthalmic Opticians
other-artistic-and-cultural-associate-professionals,other-artistic-and-cultural-associate-professional,1,NCO2015,Other Artistic and Cultural Associate Professionals
painters-and-decorators,painter-and-decorator,2,NOC|SOC,Painters and Decorators
paper-products-machine-operator,paper-product-machine-operator,3,ANZSCO|NCO2015,Paper Products Machine Operator
paper-products-machine-operators,paper-product-machine-operator,1,NOC,Paper Products Machine Operators
paralegal-and-related-occupations,paralegal-and-related-occupation,1,NOC,Paralegal and related occupations
paralegals-and-related-occupations,paralegal-and-related-occupation,1,NOC,Paralegals and related occupations
paramedics,paramedic,2,SOC,Paramedics
personal-care-workers-in-health-services-not-elsewhere-classified,personal-care-worker-in-health-service-not-elsewhere-classified,1,CNO,Personal Care Workers in Health Services Not Elsewhere Classified
personal-service-workers-not-elsewhere-classified,personal-service-worker-not-elsewhere-classified,1,CNO,Personal Service Workers Not Elsewhere Classified
personal-services-worker-not-elsewhere-classified,personal-service-worker-not-elsewhere-classified,1,NCO2015,Personal Services Worker Not Elsewhere Classified
personnel-and-careers-professional,personnel-and-career-professional,1,NCO2015,Personnel and Careers Professional
personnel-clerks,personnel-clerk,1,NOC,Personnel clerks
pest-control-workers,pest-control-worker,1,SOC,Pest Control Workers
pet-groomers-and-animal-care-workers,pet-groomer-and-animal-care-worker,1,NOC,Pet groomers and animal care workers
petroleum-engineers,petroleum-engineer,1,SOC,Petroleum Engineers
pharmaceutical-technicians-and-assistants,pharmaceutical-technician-and-assistant,1,NCO2015,Pharmaceutical Technicians and Assistants
pharmacists,pharmacist,2,SOC,Pharmacists
pharmacy-technicians,pharmacy-technician,2,NOC|SOC,Pharmacy technicians
philosophers-historians-and-political-scientists,philosopher-historian-and-political-scientist,1,CNO,"Philosophers, Historians and Political Scientists"
photographers,photographer,4,KECO|NCO2015|NOC|SOC,Photographers
photographic-products-machine-operator,photographic-product-machine-operator,1,NCO2015,Photographic Products Machine Operator
physical-therapists,physical-therapist,1,SOC,Physical Therapists
physicists,physicist,1,SOC,Physicists
physicists-and-astronomers,physicist-and-astronomer,2,CNO|NOC,Physicists and astronomers
physiotherapists,physiotherapist,2,NOC|SOC,Physiotherapists
plasterers,plasterer,3,CNO|KldB|SOC,Plasterers
plastic-products-machine-operator,plastic-product-machine-operator,2,CNO|NCO2015,Plastic Products Machine Operator
plumbers,plumber,1,NOC,Plumbers
plumbers-and-pipe-fitters,plumber-and-pipe-fitter,1,NCO2015,Plumbers and Pipe Fitters
podiatrists,podiatrist,2,SOC,Podiatrists
police-inspectors-and-detectives,police-inspector-and-detective,1,NCO2015,Police Inspectors and Detectives
police-officers,police-officer,1,NCO2015,Police Officers
political-scientists,political-scientist,1,SOC,Political Scientists
prepress-technicians,prepress-technician,1,SOC,Pre-press technicians
print-finishing-and-binding-workers,print-finishing-and-binding-worker,1,SOC,Print finishing and binding workers
printers,printer,2,NCO2015|SOC,Printers
printing-press-operators,printing-press-operator,2,NOC|SOC,Printing press operators
prison-guards,prison-guard,1,NCO2015,Prison Guards
process-control-technicians-not-elsewhere-classified,process-control-technician-not-elsewhere-classified,2,CNO|NCO2015,Process Control Technicians Not Elsewhere Classified
product-and-garment-designers,product-and-garment-designer,1,CNO,Product and Garment Designers
property-valuers,property-valuer,1,NOC,Property Valuers
protective-services-worker-not-elsewhere-classified,protective-service-worker-not-elsewhere-classified,1,NCO2015,Protective Services Worker Not Elsewhere Classified
psychiatrists,psychiatrist,1,SOC,Psychiatrists
psychologists,psychologist,1,NCO2015,Psychologists
public-relations-manager,public-relation-manager,3,ANZSCO|KldB,Public Relations Manager
public-relations-managers,public-relation-manager,1,SOC,Public Relations Managers
public-relations-professional,public-relation-professional,4,ANZSCO|CNO|NCO2015,Public Relations Professional
public-relations-professionals,public-relation-professional,1,SOC,Public relations professionals
public-relations-specialist,public-relation-specialist,1,KldB,Public Relations Specialist
public-relations-specialists,public-relation-specialist,1,SOC,Public Relations Specialists
pulp-and-papermaking-plant-operators,pulp-and-papermaking-plant-operator,1,CNO,Pulp and Papermaking Plant Operators
purchasing-managers,purchasing-manager,2,NOC|SOC,Purchasing managers
quality-assurance-technicians,quality-assurance-technician,1,SOC,Quality assurance technicians
quantity-surveyors,quantity-surveyor,1,SOC,Quantity surveyors
radiation-therapists,radiation-therapist,1,SOC,Radiation Therapists
radiologists,radiologist,1,SOC,Radiologists
real-estate-agents-and-property-managers,real-estate-agent-and-property-manager,1,NCO2015,Real Estate Agents and Property Managers
receptionists,receptionist,1,SOC,Receptionists
receptionists-and-information-clerks,receptionist-and-information-clerk,1,SOC,Receptionists and Information Clerks
registered-nurses,registered-nurse,1,SOC,Registered Nurses
religious-professionals,religious-professional,1,NCO2015,Religious Professionals
restaurant-managers,restaurant-manager,1,NCO2015,Restaurant Managers
retail-and-wholesale-trade-managers,retail-and-wholesale-trade-manager,1,NOC,Retail and wholesale trade managers
riggers,rigger,1,SOC,Riggers
roofers,roofer,2,KldB|SOC,Roofers
rubber-products-machine-operator,rubber-product-machine-operator,1,NCO2015,Rubber Products Machine Operator
sales-and-marketing-managers,sales-and-marketing-manager,1,CNO,Sales and Marketing Managers
sales-managers,sales-manager,1,SOC,Sales Managers
sales-promoters,sales-promoter,1,CNO,Sales Promoters
scaffolders,scaffolder,1,NOC,Scaffolders
secondary-school-teachers,secondary-school-teacher,1,NOC,Secondary School Teachers
securities-and-finance-dealers-and-brokers,security-and-finance-dealer-and-broker,1,NCO2015,Securities and Finance Dealers and Brokers
security-guards,security-guard,2,NCO2015|SOC,Security Guards
senior-officials-of-specialinterest-organizations,senior-official-of-specialinterest-organization,1,NCO2015,Senior Officials of Special-interest Organizations
services-manager-not-elsewhere-classified,service-manager-not-elsewhere-classified,1,NCO2015,Services Manager Not Elsewhere Classified
sewing-machine-operators,sewing-machine-operator,1,SOC,Sewing Machine Operators
sheet-metal-workers,sheet-metal-worker,3,NOC|SOC,Sheet metal workers
shelf-fillers,shelf-filler,1,SOC,Shelf fillers
ship-engineers,ship-engineer,2,CNO|SOC,Ship Engineers
ships-deck-officer-and-pilot,ship-deck-officer-and-pilot,1,NCO2015,Ships’ Deck Officer and Pilot
ships-engineer,ship-engineer,1,NCO2015,Ship's Engineer
shoemakers-and-related-workers,shoemaker-and-related-worker,1,NCO2015,Shoemakers and Related Workers
shopkeepers,shopkeeper,1,NCO2015,Shopkeepers
signwriters-decorative-painters-engravers-and-etchers,signwriter-decorative-painter-engraver-and-etcher,1,NCO2015,"Signwriters, Decorative Painters, Engravers and Etchers"
social-work-and-counselling-professionals,social-work-and-counselling-professional,1,NCO2015,Social Work and Counselling Professionals
social-workers,social-worker,2,NOC|SOC,Social Workers
sociologists,sociologist,1,SOC,Sociologists
software-and-applications-developers-and-analysts-not-elsewhere-classified,software-and-application-developer-and-analyst-not-elsewhere-classified,1,NCO2015,Software and Applications Developers and Analysts Not Elsewhere Classified
software-developers,software-developer,2,NCO2015|SOC,Software Developers
special-needs-teacher,special-need-teacher,1,NCO2015,Special Needs Teacher
speechlanguage-pathologists,speechlanguage-pathologist,1,SOC,Speech-Language Pathologists
sports-coaches-instructors-and-officials,sports-coach-instructor-and-official,1,SOC,"Sports coaches, instructors and officials"
statisticians,statistician,2,NOC|SOC,Statisticians
steel-erectors,steel-erector,1,SOC,Steel erectors
stonemasons,stonemason,1,SOC,Stonemasons
street-and-related-services-worker,street-and-related-service-worker,1,NCO2015,Street and Related Services Worker
street-vendors-excluding-food,street-vendor-excluding-food,1,NCO2015,Street Vendors (Excluding Food)
structural-metal-preparers-and-erectors,structural-metal-preparer-and-erector,1,NCO2015,Structural Metal Preparers and Erectors
supply-chain-managers,supply-chain-manager,1,NOC,Supply Chain Managers
supply-distribution-and-related-managers,supply-distribution-and-related-manager,1,NCO2015,"Supply, Distribution and Related Managers"
sweepers-and-related-labourers,sweeper-and-related-labourer,1,NCO2015,Sweepers and Related Labourers
systems-administrator,system-administrator,1,NCO2015,Systems Administrator
systems-analyst,system-analyst,2,CNO|NCO2015,Systems Analyst
taxi-drivers,taxi-driver,1,SOC,Taxi Drivers
teachers-aide,teacher-aide,1,NCO2015,Teachers' Aide
teaching-professionals-not-elsewhere-classified,teaching-professional-not-elsewhere-classified,1,NCO2015,Teaching Professionals Not Elsewhere Classified
technical-writers,technical-writer,1,SOC,Technical Writers
